EnsemblID,gene_name,Chr,Biotype,ChrCat,logFC_UCLA,CI.L_UCLA,CI.R_UCLA,AveExpr_UCLA_AllSamples,AveExpr_UCLA_Males,AveExpr_UCLA_Females,t_UCLA,P.Value_UCLA,adj.P.Val_UCLA,B_UCLA,SE_UCLA,SE2_UCLA,absLogFC_UCLA,power_alpha0.05_UCLA,power_alpha0.1_UCLA,logFC_BV,CI.L_BV,CI.R_BV,AveExpr_BV_AllSamples,AveExpr_BV_Males,AveExpr_BV_Females,t_BV,P.Value_BV,adj.P.Val_BV,B_BV,SE_BV,SE2_BV,absLogFC_BV,power_alpha0.05_BV,power_alpha0.1_BV,invNorm_adjPval,invNorm_testStats,invNorm_rawPval
ENSG00000003096,KLHL13,chrX,protein_coding,X,0.054516673,-0.043215709,0.152249055,4.219360424,4.438467682,4.38395101,1.101179369,0.272383474,0.954526432,-8.33287596,0.04986346,0.002486365,0.054516673,0.194636493,0.29487571,-0.131215808,-0.294488552,0.032056937,4.597411384,2.659447262,2.726083437,-1.603938008,0.11340397,0.890311191,-7.192606245,0.083302421,0.006939293,0.131215808,0.352592002,0.477869083,0.8686554,1.182181165,0.118566912
ENSG00000003137,CYP26B1,chr2,protein_coding,Auto,0.075200226,-0.067378984,0.217779437,2.373321479,-0.169792873,-0.244993088,1.041190373,0.299273446,0.959880308,-7.962467522,0.072744495,0.005291762,0.075200226,0.178937435,0.275311436,0.053420417,-0.318984458,0.425825292,1.594471221,3.26086971,2.906998632,0.28629056,0.775533753,0.989562689,-7.729607173,0.190002487,0.036100945,0.053420417,0.059174231,0.113599295,0.959651253,0.007125385,0.497157407
ENSG00000003147,ICA1,chr7,protein_coding,Auto,0.042246416,-0.001325831,0.085818664,4.24968507,4.654168881,4.611922463,1.914022845,0.057306012,0.815107901,-7.118333506,0.022230738,0.000494206,0.042246416,0.477402198,0.60333993,0.043186051,-0.033204996,0.119577097,5.231438055,5.598735097,5.53977618,1.128278056,0.263202815,0.936265838,-7.946187147,0.038975024,0.001519052,0.043186051,0.199360147,0.301659421,0.772459952,1.65997042,0.048460202
ENSG00000003249,DBNDD1,chr16,protein_coding,Auto,0.028639988,-0.006385679,0.063665655,4.833063628,4.66566162,4.637021631,1.614186153,0.108351398,0.900071633,-7.780551262,0.017870238,0.000319345,0.028639988,0.361498013,0.48576305,0.032669894,-0.038209976,0.103549763,4.456943253,4.238161905,4.186164532,0.919898536,0.360906527,0.954676197,-8.018073544,0.036163199,0.001307777,0.032669894,0.148214844,0.23672059,0.862305821,1.220666757,0.11110611
ENSG00000003393,ALS2,chr2,protein_coding,Auto,0.018346367,-0.021103652,0.057796386,6.779840512,6.887312954,6.868966588,0.918057858,0.359896078,0.970329203,-8.938717437,0.020127561,0.000405119,0.018346367,0.149558025,0.237797485,0.006877198,-0.043544236,0.057298632,6.58997125,6.059200603,6.053084477,0.27221462,0.786289199,0.99096626,-8.649654801,0.025725222,0.000661787,0.006877198,0.058290152,0.112297518,0.971146124,-0.15190007,0.560367124
ENSG00000003400,CASP10,chr2,protein_coding,Auto,0.028870153,-0.073208422,0.130948728,0.882817508,0.221240902,0.192370748,0.558318075,0.577365655,0.987780657,-7.839752785,0.052080906,0.002712421,0.028870153,0.085988462,0.151998408,0.028746489,-0.154874079,0.212367058,0.828274448,0.719548115,0.600562357,0.312448614,0.755664277,0.989562689,-7.52376918,0.093683963,0.008776685,0.028746489,0.060938223,0.116191278,0.98579049,-0.551973931,0.709516893
ENSG00000003402,CFLAR,chr2,protein_coding,Auto,0.060758533,0.02341196,0.098105105,5.858001052,5.67193435,5.611175817,3.211616876,0.001580136,0.196824153,-4.222049479,0.019054374,0.000363069,0.060758533,0.891279654,0.939893531,-0.038999238,-0.10050479,0.022506315,5.037995589,4.936470664,5.003399438,-1.265484733,0.210054998,0.922861235,-7.756591936,0.031380384,0.000984728,0.038999238,0.238754876,0.349380356,0.196046207,2.891527367,0.001916871
ENSG00000003436,TFPI,chr2,protein_coding,Auto,0.088161799,0.014485765,0.161837833,3.806520146,3.986875869,3.898714069,2.362225797,0.019302948,0.690921177,-6.051611046,0.037589813,0.001412994,0.088161799,0.651307212,0.760530048,-0.049471027,-0.200850045,0.101907991,3.126353301,1.84508523,1.846128574,-0.652229374,0.516471502,0.970883579,-7.93669333,0.077234193,0.005965121,0.049471027,0.098542975,0.169853084,0.769573073,1.683954444,0.046095237
ENSG00000003509,NDUFAF7,chr2,protein_coding,Auto,0.008759286,-0.018594402,0.036112974,5.123011218,5.122782709,5.114023424,0.632149827,0.528142684,0.983531926,-8.936304819,0.013955963,0.000194769,0.008759286,0.096348432,0.166466575,0.012697298,-0.04028177,0.065676366,4.659136826,5.099734743,5.100547971,0.478323942,0.633967603,0.979345629,-8.384491388,0.027030137,0.000730628,0.012697298,0.07583806,0.137806024,0.975553505,-0.251556215,0.599307947
ENSG00000003756,RBM5,chr3,protein_coding,Auto,0.011449023,-0.011619391,0.034517437,8.030290611,8.217730727,8.206281703,0.979755936,0.328606156,0.965801797,-8.945083516,0.011769599,0.000138523,0.011449023,0.163796531,0.256130295,0.003501525,-0.050476014,0.057479063,7.137276472,7.1038664,7.092732785,0.129467038,0.897373704,0.996081314,-8.675718841,0.02753956,0.000758427,0.003501525,0.051868218,0.102785803,0.979998729,-0.348798701,0.63637978
ENSG00000003987,MTMR7,chr8,protein_coding,Auto,0.00417492,-0.027136517,0.035486357,6.031372535,6.184916646,6.180741726,0.263216064,0.792704477,0.989640717,-9.251241324,0.015975223,0.000255208,0.00417492,0.057883469,0.111639189,0.034515961,-0.018817426,0.087849348,6.89841261,6.733418762,6.68601301,1.29162343,0.200899476,0.919729731,-7.851760163,0.027210912,0.000740434,0.034515961,0.246745713,0.358838695,0.974951356,-0.200112155,0.579303566
ENSG00000003989,SLC7A2,chr8,protein_coding,Auto,-0.043665851,-0.159000089,0.071668387,1.066066745,1.454417083,1.498082932,-0.747396188,0.455862413,0.983531926,-7.79070046,0.058843999,0.003462616,0.043665851,0.115273745,0.192382736,-0.251655667,-0.585785619,0.082474286,0.473712007,1.233403979,1.659798275,-1.503164181,0.137468149,0.903407363,-6.391333058,0.170474465,0.029061543,0.251655667,0.31654534,0.438569455,0.913992183,0.707830594,0.239525233
ENSG00000004059,ARF5,chr7,protein_coding,Auto,0.001844724,-0.027469138,0.031158585,5.400386235,5.20243848,5.200593757,0.124229709,0.901280939,0.992903894,-9.185227891,0.014956052,0.000223683,0.001844724,0.051749739,0.102596237,0.02293481,-0.030143248,0.076012867,4.933408173,4.770045855,4.779254893,0.862373172,0.391540303,0.962521072,-8.15216328,0.027080642,0.000733361,0.02293481,0.136012253,0.220669506,0.990741466,-0.90845595,0.818181312
ENSG00000004139,SARM1,chr17,protein_coding,Auto,0.009692934,-0.017777068,0.037162935,6.061018436,6.253000007,6.243307072,0.696568383,0.487029289,0.983531926,-9.046352052,0.014015307,0.000196429,0.009692934,0.106510002,0.18046156,0.018600968,-0.038993607,0.076195542,5.459456158,5.532170835,5.547044313,0.644568498,0.521394696,0.970883579,-8.401014076,0.029384987,0.000863477,0.018600968,0.097386584,0.168245206,0.959651253,-0.003447428,0.501375322
ENSG00000004142,POLDIP2,chr17,protein_coding,Auto,-0.00221812,-0.026076425,0.021640184,5.622721045,5.869229357,5.871447477,-0.18353239,0.854600176,0.990285099,-9.212469076,0.012172604,0.000148172,0.00221812,0.053823731,0.105663968,-0.029784989,-0.085359537,0.025789559,4.961112677,5.085252801,5.107174827,-1.069637498,0.288598327,0.944033253,-7.954488064,0.028354361,0.00080397,0.029784989,0.183881693,0.282382821,0.98579049,-0.557238219,0.71131766
ENSG00000004399,PLXND1,chr3,protein_coding,Auto,0.012401851,-0.06658933,0.091393032,4.133848328,5.282484417,5.27008256,0.309938205,0.756989553,0.989640717,-8.862007009,0.040301623,0.001624221,0.012401851,0.06094966,0.116126515,0.038807531,-0.094995731,0.172610792,3.590472002,4.241054273,4.399282574,0.578847844,0.564621359,0.974017041,-8.103570366,0.06826697,0.004660379,0.038807531,0.088060504,0.155184575,0.988511078,-0.666875622,0.747574208
ENSG00000004455,AK2,chr1,protein_coding,Auto,-0.010474113,-0.033335263,0.012387037,5.503350158,5.631912847,5.642386961,-0.904453774,0.367041504,0.971474941,-8.79732106,0.011663852,0.000136045,0.010474113,0.146549916,0.233886351,0.001169695,-0.048812033,0.051151422,4.830259273,4.511649726,4.484254358,0.046706402,0.962885347,0.999083566,-8.518756708,0.025500881,0.000650295,0.001169695,0.050242903,0.100362691,0.988606663,-0.727382557,0.766504182
ENSG00000004478,FKBP4,chr12,protein_coding,Auto,0.009847812,-0.033903167,0.05359879,6.447814333,6.366755961,6.35690815,0.444343845,0.657362111,0.988419995,-9.234914224,0.022321928,0.000498268,0.009847812,0.072647304,0.133051442,-0.006071533,-0.075757037,0.063613972,5.77078976,5.54441712,5.533462196,-0.173888551,0.862474283,0.994129994,-8.615962787,0.035553829,0.001264075,0.006071533,0.053373041,0.105023523,0.991787207,-0.95069581,0.829120592
ENSG00000004487,KDM1A,chr1,protein_coding,Auto,-0.011951193,-0.030169103,0.006266717,8.207706308,8.059706384,8.071657577,-1.295030242,0.197075018,0.94030694,-8.593980215,0.009294852,8.64E-05,0.011951193,0.251283739,0.362962448,0.055013987,0.016450202,0.093577773,7.763877016,7.533086655,7.492077968,2.847138369,0.005841509,0.445920845,-4.779008902,0.019675401,0.000387121,0.055013987,0.801332875,0.879710094,0.597320261,2.126830512,0.016717084
ENSG00000004534,RBM6,chr3,protein_coding,Auto,-0.002975199,-0.035398127,0.02944773,7.608315078,8.0098381,8.012813298,-0.181146924,0.856469177,0.990464568,-9.392513678,0.01654231,0.000273648,0.002975199,0.053724758,0.105517809,0.000703554,-0.049331974,0.050739082,7.374275394,7.156442008,7.161678917,0.028062999,0.977694835,0.999247825,-8.675996075,0.02552833,0.000651696,0.000703554,0.050087683,0.100130941,0.997015863,-2.01246258,0.977914401
ENSG00000004660,CAMKK1,chr17,protein_coding,Auto,-0.022594667,-0.052346088,0.007156754,4.553564558,4.578040998,4.600635664,-1.499220239,0.135680986,0.923507882,-7.89334746,0.015179297,0.000230411,0.022594667,0.319723407,0.440588341,0.006328507,-0.059711553,0.072368567,4.181334959,4.801827663,4.818873935,0.191253288,0.848902138,0.994129994,-8.3725298,0.033693908,0.001135279,0.006328507,0.054082178,0.106076131,0.944571034,0.325471464,0.372412138
ENSG00000004700,RECQL,chr12,protein_coding,Auto,0.014578279,-0.020264124,0.049420683,5.283402103,5.757726159,5.74314788,0.825972084,0.40998368,0.980596132,-8.826467825,0.017776736,0.000316012,0.014578279,0.13012679,0.212288654,-0.031063409,-0.083263492,0.021136675,5.111653041,5.221211289,5.254358106,-1.187662453,0.239135124,0.930316717,-7.848578407,0.026632695,0.0007093,0.031063409,0.215874711,0.321891521,0.921315062,0.588147961,0.278216492
ENSG00000004766,CCDC132,chr7,protein_coding,Auto,0.005232445,-0.015905626,0.026370516,6.563535692,6.688243949,6.683011504,0.488659736,0.625715705,0.987780657,-9.223017792,0.01078473,0.00011631,0.005232445,0.077456334,0.139923521,0.007024016,-0.04230339,0.056351421,7.141879951,6.845506264,6.849381021,0.284192303,0.777134302,0.989562689,-8.639706253,0.025167043,0.00063338,0.007024016,0.05903954,0.113401085,0.988567902,-0.695043894,0.756486103
ENSG00000004777,ARHGAP33,chr19,protein_coding,Auto,-0.002783379,-0.033368081,0.027801322,6.250701971,6.541624962,6.544408339,-0.179653361,0.857639791,0.990774079,-9.293797288,0.01560444,0.000243499,0.002783379,0.053663452,0.105427262,-0.017198952,-0.099832596,0.065434692,5.492532358,5.200498026,5.239167443,-0.415393975,0.679173012,0.985857746,-8.518963284,0.042160022,0.001777467,0.017198952,0.069422723,0.128559383,0.994028858,-1.145734273,0.874047441
ENSG00000004779,NDUFAB1,chr16,protein_coding,Auto,-0.014952681,-0.043763741,0.01385838,4.625883214,4.658932348,4.673885028,-1.024535516,0.307045709,0.960671448,-8.510735305,0.014699521,0.000216076,0.014952681,0.174738471,0.270023441,0.05430291,-0.021231011,0.129836832,4.462876834,4.310763807,4.248212272,1.434815921,0.155963721,0.908743945,-7.413358503,0.038537715,0.001485155,0.05430291,0.293052254,0.412289502,0.892973691,0.987044818,0.161810334
ENSG00000004799,PDK4,chr7,protein_coding,Auto,0.049282899,-0.045029296,0.143595094,2.792245731,2.469149689,2.419866789,1.031562617,0.303750098,0.960436391,-8.012590978,0.048118467,0.002315387,0.049282899,0.176501614,0.272246763,-0.0157762,-0.304289525,0.272737125,1.331379707,5.51066457,5.307749511,-0.109131879,0.91342216,0.997129951,-7.675357445,0.147200676,0.021668039,0.0157762,0.051326918,0.101979522,0.979998729,-0.344976887,0.634944127
ENSG00000004838,ZMYND10,chr3,protein_coding,Auto,-0.039309709,-0.136623297,0.058003878,0.99612183,0.854369695,0.893679405,-0.797431806,0.426318535,0.982329245,-7.718608341,0.049649789,0.002465102,0.039309709,0.124548107,0.204854998,0.092435137,-0.10297027,0.287840544,0.347699664,2.722731055,2.668397368,0.944094845,0.348493329,0.949107572,-6.999800652,0.099696636,0.009939419,0.092435137,0.153597575,0.243728853,0.942578195,0.373144457,0.354520466
ENSG00000004848,ARX,chrX,protein_coding,X,-0.048562704,-0.119898864,0.022773457,3.47452474,3.227749306,3.276312008,-1.343879496,0.180787605,0.935670155,-7.826923059,0.036396,0.001324669,0.048562704,0.266898583,0.381094167,0.0124889,-0.126832334,0.151810135,2.886205408,3.23034211,3.070713819,0.178904803,0.858549165,0.994129994,-8.0980455,0.071082262,0.005052688,0.0124889,0.053570956,0.105317421,0.956438981,0.146893227,0.441608149
ENSG00000004864,SLC25A13,chr7,protein_coding,Auto,-0.004173109,-0.046256969,0.037910752,3.381489967,3.252640417,3.256813525,-0.195754311,0.84503749,0.989640717,-8.679429953,0.021471357,0.000461019,0.004173109,0.054351312,0.106442687,0.049501057,-0.021156284,0.120158397,4.28371883,4.761695386,4.708388956,1.398209646,0.166634379,0.912055189,-7.458603528,0.036049664,0.001299578,0.049501057,0.280823317,0.398392103,0.976957794,-0.29191427,0.614823914
ENSG00000004866,ST7,chr7,protein_coding,Auto,-0.044253591,-0.079789273,-0.008717908,6.177183754,5.897171665,5.941425259,-2.458391576,0.01496384,0.646429819,-6.317727911,0.01813045,0.000328713,0.044253591,0.68597079,0.789231704,0.051391785,-0.019655903,0.122439473,6.950274492,6.135393772,6.127895955,1.44363987,0.153472569,0.908743945,-7.643397528,0.03624882,0.001313977,0.051391785,0.296037898,0.415659535,0.47206855,2.368767831,0.008923726
ENSG00000004897,CDC27,chr17,protein_coding,Auto,0.003136859,-0.014710432,0.02098415,7.202571752,7.506889371,7.503752513,0.346968363,0.729046477,0.989640717,-9.32750771,0.009105761,8.29E-05,0.003136859,0.063743712,0.120196805,0.026963794,-0.012478237,0.066405825,6.735323787,6.370831048,6.358997757,1.364384723,0.176984999,0.915378165,-7.755062864,0.020123485,0.000404955,0.026963794,0.269756207,0.385682322,0.959518366,0.019811525,0.492096862
ENSG00000004961,HCCS,chrX,protein_coding,X,-0.014552325,-0.055813173,0.026708523,3.162315355,3.786807966,3.801360291,-0.696243956,0.487231885,0.983531926,-8.398002654,0.021051453,0.000443164,0.014552325,0.10645617,0.180387915,-0.01951816,-0.104995086,0.065958766,2.603596547,3.654857526,3.611780778,-0.455727343,0.650050983,0.98118248,-7.882990645,0.043610676,0.001901891,0.01951816,0.073425984,0.134339787,0.974951356,-0.191176278,0.575806256
