Row.names,Gene.stable.ID,Crab.eating.macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID,Skin,Heart,Brain,Muscle,Spleen,Adipose,Thyroid,Colon,Lung,Liver,Pituitary,Adrenal,Human expression breadth,Chicken expression breadth,Brain expression constraint percentile,Heart expression constraint percentile,Liver expression constraint percentile,Lung expression constraint percentile,Muscle expression constraint percentile,Mean mammalian phyloP score
AAMP,ENSG00000127837,ENSMFAG00000034415,ENSMUSG00000006299,ENSRNOG00000014399,ENSCAFG00000014625,0,0,0,0,0,0,0,0,0,0,10,0,0.76218261,0.526524818,0.989827856,0.997149748,0.931147541,0.903770667,0.899691929,NA
AANAT,ENSG00000129673,ENSMFAG00000030450,ENSMUSG00000020804,ENSRNOG00000011182,ENSCAFG00000005090,0,0,0,0,0,0,0,0,0,0,11,0,0.202259576,0.347286709,NA,NA,NA,NA,NA,NA
AAR2,ENSG00000131043,ENSMFAG00000030564,ENSMUSG00000027628,ENSRNOG00000020086,ENSCAFG00000008435,0,0,0,0,0,-6,0,0,0,0,0,0,0.687559051,0.538558025,0.89145987,NA,NA,0.207624599,0.05853358,3.04353
AARS,ENSG00000090861,ENSMFAG00000002309,ENSMUSG00000031960,ENSRNOG00000018404,ENSCAFG00000020132,0,0,0,0,0,0,0,0,0,0,0,-8,0.572078382,0.556759911,0.910462777,0.956698093,0.815864622,0.935054122,0.845717807,4.55637
AARS2,ENSG00000124608,ENSMFAG00000037353,ENSMUSG00000023938,ENSRNOG00000025808,ENSCAFG00000001989,11,0,0,0,6,0,0,0,-6,0,0,0,0.626810962,NA,0.797339593,0.909449682,0.68979376,0.846080647,0.750831793,3.01716
AASDH,ENSG00000157426,ENSMFAG00000033449,ENSMUSG00000055923,ENSRNOG00000002137,ENSCAFG00000002209,0,0,0,0,0,0,0,-8,-6,0,-1,0,0.574200061,0.478150734,0.899731724,0.731747424,0.822210471,0.885214702,0.984103512,2.42261
AASDHPPT,ENSG00000149313,ENSMFAG00000046243,ENSMUSG00000025894,ENSRNOG00000005795,ENSCAFG00000014775,4,0,0,11,0,-1,11,0,10,-10,0,-11,0.574657277,0.283011253,NA,NA,NA,NA,NA,3.51153
AASS,ENSG00000008311,ENSMFAG00000038411,ENSMUSG00000029695,ENSRNOG00000039494,ENSCAFG00000003532,-6,0,0,0,0,-1,-11,0,-9,9,0,-11,0.518199126,0.359480564,0.880169908,NA,0.282601798,NA,NA,3.95233
AATF,ENSG00000275700,ENSMFAG00000003108,ENSMUSG00000018697,ENSRNOG00000002778,ENSCAFG00000017869,0,-6,0,-6,0,-13,0,0,0,0,10,0,0.581723172,0.375041343,NA,0.597785573,0.548175568,0.726418461,0.663339495,NA
AATK,ENSG00000181409,ENSMFAG00000036002,ENSMUSG00000025375,ENSRNOG00000004392,ENSCAFG00000005705,-13,0,6,0,0,-11,11,-11,-6,0,-6,-11,NA,NA,NA,NA,NA,NA,NA,NA
ABAT,ENSG00000183044,ENSMFAG00000032053,ENSMUSG00000057880,ENSRNOG00000002636,ENSCAFG00000019030,-6,0,0,0,-11,8,6,11,0,8,8,-8,0.235832461,0.2723271,0.95036888,0.293466345,0.519936542,0.257285595,0.251139864,4.39317
ABCA1,ENSG00000165029,ENSMFAG00000002145,ENSMUSG00000015243,ENSRNOG00000018126,ENSCAFG00000002727,-2,0,-6,0,-11,-13,0,0,11,-9,2,11,0.244217837,0.20911494,0.362843729,0.74720456,NA,0.665516831,0.561059766,4.57338
ABCA12,ENSG00000144452,ENSMFAG00000041527,ENSMUSG00000050296,ENSRNOG00000015248,ENSCAFG00000014278,0,0,0,0,0,0,0,0,0,0,0,0,0.087546949,0.147249724,0.286720322,0.291712344,0.928609201,NA,0.68120764,3.12492
ABCA2,ENSG00000107331,ENSMFAG00000036403,ENSMUSG00000026944,ENSRNOG00000014268,ENSCAFG00000023212,-8,6,11,0,11,0,0,-10,-6,-9,0,8,0.262485408,NA,0.432148446,0.510852883,0.172924379,0.503390032,NA,NA
ABCA3,ENSG00000167972,ENSMFAG00000033360,ENSMUSG00000024130,ENSRNOG00000050057,ENSCAFG00000019379,0,0,0,0,0,0,0,0,0,-8,0,0,0.169593952,NA,NA,NA,NA,NA,NA,3.56417
ABCA4,ENSG00000198691,ENSMFAG00000032139,ENSMUSG00000028125,ENSRNOG00000012892,ENSCAFG00000020121,0,0,0,0,0,0,0,0,0,1,0,0,0.287600141,0.168252329,0.201542589,NA,0.263881544,0.185916498,NA,3.56127
ABCA5,ENSG00000154265,ENSMFAG00000041992,ENSMUSG00000018800,ENSRNOG00000004378,ENSCAFG00000010810,0,0,0,11,0,0,-11,10,0,13,-11,4,0.431709314,0.550349528,0.551307847,0.395308046,0.161819143,NA,0.332840419,3.36498
ABCA7,ENSG00000064687,ENSMFAG00000003292,ENSMUSG00000035722,ENSRNOG00000012939,ENSCAFG00000019617,11,0,13,0,2,0,11,0,0,0,10,11,0.264916112,0.211505131,0.78101945,NA,0.359386568,NA,0.329882933,1.9865
ABCA8,ENSG00000141338,ENSMFAG00000046401,ENSMUSG00000020620,ENSRNOG00000004040,ENSCAFG00000024916,0,0,11,-11,0,13,0,-10,0,9,6,11,0.450562028,NA,NA,NA,NA,NA,NA,1.30799
ABCA9,ENSG00000154258,ENSMFAG00000042813,ENSMUSG00000041797,ENSRNOG00000059326,ENSCAFG00000010877,-1,0,0,-11,0,0,0,-10,0,0,0,8,0.243181406,NA,NA,NA,NA,NA,NA,1.57598
ABCB10,ENSG00000135776,ENSMFAG00000002787,ENSMUSG00000031974,ENSRNOG00000017993,ENSCAFG00000012137,0,0,0,0,0,0,0,0,0,8,0,0,NA,NA,NA,NA,NA,NA,NA,3.09549
ABCB11,ENSG00000073734,ENSMFAG00000037604,ENSMUSG00000027048,ENSRNOG00000050860,ENSCAFG00000011980,0,0,0,0,0,0,0,0,0,-8,0,0,0.091638008,0.167942978,0.167784485,0.128425784,0.502273929,0.209111455,0.096487985,3.87454
ABCB6,ENSG00000115657,ENSMFAG00000044424,ENSMUSG00000026198,ENSRNOG00000018697,ENSCAFG00000015130,13,0,13,11,13,0,0,0,-11,8,10,0,0.501985139,NA,0.717192041,0.752137689,0.65230037,0.465683359,0.599815157,3.64055
ABCB7,ENSG00000131269,ENSMFAG00000041203,ENSMUSG00000031333,ENSRNOG00000002790,ENSCAFG00000017214,4,0,0,0,-11,-11,11,12,11,13,-1,-11,0.818226226,0.500546321,0.835457188,NA,0.958646219,NA,0.834257548,4.38236
ABCB8,ENSG00000197150,ENSMFAG00000037503,ENSMUSG00000028973,ENSRNOG00000008557,ENSCAFG00000004698,-8,0,13,11,11,-11,0,-8,-11,8,10,11,0.560382781,NA,0.837581042,0.593948695,0.890005288,0.549304151,NA,2.89773
ABCB9,ENSG00000150967,ENSMFAG00000002483,ENSMUSG00000029408,ENSRNOG00000001082,ENSCAFG00000007676,9,6,0,6,0,0,0,11,0,0,0,0,0.286864049,0.376137151,NA,NA,NA,NA,NA,NA
ABCC10,ENSG00000124574,ENSMFAG00000036554,ENSMUSG00000032842,ENSRNOG00000018863,ENSCAFG00000001853,-8,0,7,-4,0,0,0,10,-6,0,-1,0,NA,NA,NA,NA,NA,NA,NA,3.35769
ABCC2,ENSG00000023839,ENSMFAG00000042907,ENSMUSG00000025194,ENSRNOG00000046727,ENSCAFG00000009536,0,0,0,0,0,0,-6,0,0,-6,0,0,0.096553657,0.177040264,NA,NA,0.550396616,NA,NA,3.05843
ABCC4,ENSG00000125257,ENSMFAG00000042513,ENSMUSG00000032849,ENSRNOG00000010064,ENSCAFG00000005433,8,0,0,0,0,0,9,-11,0,0,0,-9,0.351615335,0.426995186,NA,NA,NA,NA,NA,NA
ABCC5,ENSG00000114770,ENSMFAG00000038091,ENSMUSG00000022822,ENSRNOG00000029178,ENSCAFG00000012085,0,6,0,0,0,11,-11,10,-6,-13,-6,-11,0.403469877,NA,NA,0.647336111,NA,0.448078982,NA,4.22738
ABCC6,ENSG00000091262,ENSMFAG00000001420,ENSMUSG00000030834,ENSRNOG00000028781,ENSCAFG00000018197,0,0,0,0,0,0,0,11,0,11,0,0,0.121461364,NA,NA,NA,NA,NA,NA,2.5402
ABCC8,ENSG00000006071,ENSMFAG00000035952,ENSMUSG00000040136,ENSRNOG00000021130,ENSCAFG00000008779,0,0,0,11,0,0,0,0,0,0,8,0,0.142080574,0.131207712,NA,NA,NA,NA,NA,4.61237
ABCC9,ENSG00000069431,ENSMFAG00000041870,ENSMUSG00000030249,ENSRNOG00000036960,ENSCAFG00000012066,-11,6,-13,0,0,0,0,-10,0,11,6,-9,0.372565882,0.22685353,NA,NA,NA,NA,NA,4.66834
ABCD1,ENSG00000101986,ENSMFAG00000044729,ENSMUSG00000031378,ENSRNOG00000056524,ENSCAFG00000019247,-4,0,0,0,2,-11,0,-10,-6,-11,6,0,0.320836823,NA,0.639391907,0.572571804,NA,0.450339003,0.615896488,3.61229
ABCD2,ENSG00000173208,ENSMFAG00000002050,ENSMUSG00000055782,ENSRNOG00000015538,ENSCAFG00000010022,0,0,0,0,0,-11,9,0,0,0,10,0,0.249155235,NA,0.577911916,0.144924359,0.147329455,0.170810039,0.122119532,4.40957
ABCD3,ENSG00000117528,ENSMFAG00000044222,ENSMUSG00000028127,ENSRNOG00000011929,ENSCAFG00000020112,8,0,0,0,-11,-6,9,10,-6,8,0,-11,0.509598338,0.498497037,0.756539235,0.784367463,0.514119513,0.654097776,NA,NA
ABCD4,ENSG00000119688,ENSMFAG00000031273,ENSMUSG00000021240,ENSRNOG00000011964,ENSCAFG00000016923,0,0,0,0,0,6,0,0,0,0,-6,1,0.622633769,0.500326439,0.487145093,0.500548125,0.62168165,0.625550137,0.704128158,3.99867
ABCE1,ENSG00000164163,ENSMFAG00000038310,ENSMUSG00000058355,ENSRNOG00000018345,ENSCAFG00000007597,4,0,0,11,0,-1,11,-11,11,-10,0,-1,0.718181964,0.60214973,0.80952381,0.721442666,0.795346378,0.858748662,0.895255699,NA
ABCF1,ENSG00000204574,ENSMFAG00000001346,ENSMUSG00000038762,ENSRNOG00000000799,ENSCAFG00000030478,0,0,0,0,6,-6,0,0,0,0,0,0,0.764343102,NA,0.557008719,0.484652488,0.764780539,0.774473653,0.683056069,3.74274
ABCF2,ENSG00000033050,ENSMFAG00000034542,ENSMUSG00000028953,ENSRNOG00000010609,ENSCAFG00000004830,0,0,0,0,0,-6,0,0,0,0,0,0,0.657678373,NA,NA,0.677263758,0.624008461,0.809682408,0.796426371,4.96377
ABCF3,ENSG00000161204,ENSMFAG00000000479,ENSMUSG00000003234,ENSRNOG00000001710,ENSCAFG00000012340,0,0,0,-6,6,0,-11,0,0,0,0,-6,0.414881429,0.588290475,0.949809971,0.868121026,0.93929138,0.773284168,0.744916821,4.57858
ABCG1,ENSG00000160179,ENSMFAG00000035347,ENSMUSG00000024030,ENSRNOG00000001158,ENSCAFG00000010285,-8,0,0,0,0,8,0,10,6,0,10,8,0.3891969,0.238357683,0.390453834,NA,0.377154944,NA,0.031792976,4.24057
ABCG4,ENSG00000172350,ENSMFAG00000046033,ENSMUSG00000032131,ENSRNOG00000008862,ENSCAFG00000012198,0,0,0,0,0,6,0,11,0,10,11,11,0.106131362,0.140416686,0.812318355,0.115215961,0.319196192,0.170691091,0.324091189,NA
ABCG5,ENSG00000138075,ENSMFAG00000003442,ENSMUSG00000040505,ENSRNOG00000005250,ENSCAFG00000002504,0,0,0,0,0,0,9,0,0,11,0,0,0.085550098,0.216405563,NA,0.275049331,0.799048123,0.18496491,NA,NA
ABCG8,ENSG00000143921,ENSMFAG00000045442,ENSMUSG00000024254,ENSRNOG00000005420,ENSCAFG00000002518,0,0,0,0,0,0,0,0,0,11,0,0,0.085421797,0.154012259,NA,0.221607104,0.841565309,0.245390746,NA,NA
ABHD11,ENSG00000106077,ENSMFAG00000041965,ENSMUSG00000040532,ENSRNOG00000018910,ENSCAFG00000012539,9,0,7,11,8,-11,0,11,-11,8,0,11,0.336228785,0.680906984,NA,NA,NA,NA,NA,2.23468
ABHD12,ENSG00000100997,ENSMFAG00000002681,ENSMUSG00000032046,ENSRNOG00000036934,ENSCAFG00000004389,-8,0,0,0,0,-6,-9,10,-9,0,0,0,0.433363368,0.430385052,0.71216186,NA,0.811634056,0.433924111,0.828219347,3.34979
ABHD12B,ENSG00000131969,ENSMFAG00000035570,ENSMUSG00000090121,ENSRNOG00000026855,ENSCAFG00000014594,8,0,-9,0,0,0,0,0,-11,0,0,0,0.154681967,0.342019273,NA,NA,NA,NA,NA,2.05636
ABHD13,ENSG00000139826,ENSMFAG00000031944,ENSMUSG00000040396,ENSRNOG00000014598,ENSCAFG00000006032,4,0,0,10,0,-11,-11,0,-11,-10,0,0,0.738270434,0.498706685,0.498993964,0.678250384,0.777260709,0.911383371,NA,1.52586
ABHD14B,ENSG00000114779,ENSMFAG00000001512,ENSMUSG00000042073,ENSRNOG00000012073,ENSCAFG00000009945,0,0,0,0,-6,0,0,0,0,9,0,13,0.546179084,NA,0.486139057,0.434115326,0.671919619,0.370643511,0.346642021,3.3869
ABHD15,ENSG00000168792,ENSMFAG00000033088,ENSMUSG00000000686,ENSRNOG00000015002,ENSCAFG00000018922,0,-6,-1,-10,0,-6,0,-6,0,8,1,0,0.475685755,NA,0.265258216,0.4326902,0.637017451,NA,0.592606285,2.21846
ABHD16A,ENSG00000204427,ENSMFAG00000000198,ENSMUSG00000007036,ENSRNOG00000056637,ENSCAFG00000000607,-8,0,7,0,11,9,-9,11,0,0,11,11,0.388649876,NA,0.306058574,0.367353651,0.557059757,0.305995004,0.278989526,3.65825
ABHD17A,ENSG00000129968,ENSMFAG00000031369,ENSMUSG00000003346,ENSRNOG00000018212,ENSCAFG00000019448,11,0,6,0,6,8,0,0,0,0,11,9,0.483833941,NA,NA,NA,NA,NA,NA,4.34541
ABHD17B,ENSG00000107362,ENSMFAG00000001017,ENSMUSG00000047368,ENSRNOG00000012514,ENSCAFG00000001821,0,0,0,0,-2,0,9,10,0,0,-6,-8,0.67001256,0.202610433,0.912810195,0.965468099,0.788894765,0.955156417,NA,5.37493
ABHD17C,ENSG00000136379,ENSMFAG00000037832,ENSMUSG00000038459,ENSRNOG00000012683,ENSCAFG00000029013,0,0,0,0,0,0,0,0,0,0,-8,0,0.274927882,0.38755589,NA,NA,NA,NA,NA,4.90784
ABHD18,ENSG00000164074,ENSMFAG00000039882,ENSMUSG00000037818,ENSRNOG00000013692,ENSCAFG00000003848,0,0,0,11,-6,-9,9,11,0,1,-6,-6,0.640625661,NA,0.829644534,0.767485201,0.751877314,0.778161056,0.548860136,NA
ABHD2,ENSG00000140526,ENSMFAG00000034068,ENSMUSG00000039202,ENSRNOG00000017120,ENSCAFG00000011583,0,-6,-6,10,0,0,0,8,0,-8,-11,9,0.530469553,0.308562557,NA,0.557662793,0.472131148,NA,NA,4.77467
ABHD3,ENSG00000158201,ENSMFAG00000045155,ENSMUSG00000002475,ENSRNOG00000029370,ENSCAFG00000018243,9,0,0,-13,0,-11,-1,11,-11,-10,0,-11,0.332745419,0.142754721,0.241001565,0.402981802,0.172395558,NA,NA,4.18977
ABHD4,ENSG00000100439,ENSMFAG00000001529,ENSMUSG00000040997,ENSRNOG00000009244,ENSCAFG00000011146,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,3.60878
ABHD5,ENSG00000011198,ENSMFAG00000038665,ENSMUSG00000032540,ENSRNOG00000000221,ENSCAFG00000004453,9,-6,-6,-6,0,-6,11,10,11,8,-6,-8,0.384704555,NA,0.853230494,0.914930936,NA,NA,0.777202711,4.20875
ABHD6,ENSG00000163686,ENSMFAG00000022753,ENSMUSG00000025277,ENSRNOG00000008167,ENSCAFG00000007394,0,0,0,0,0,0,0,10,0,0,0,0,0.479659545,0.2601011,0.77297116,NA,0.26377578,NA,0.405668515,3.74581
ABHD8,ENSG00000127220,ENSMFAG00000028796,ENSMUSG00000007950,ENSRNOG00000000054,ENSCAFG00000015430,-4,0,0,-11,0,11,11,-11,-11,10,11,0,0.204828171,NA,0.650234742,0.723525543,0.661872025,NA,0.446950092,3.70953
ABI1,ENSG00000136754,ENSMFAG00000031700,ENSMUSG00000058835,ENSRNOG00000031325,ENSCAFG00000004365,0,0,0,0,0,0,0,10,0,0,0,0,0.47685282,0.532650673,NA,NA,NA,NA,NA,5.23433
ABI2,ENSG00000138443,ENSMFAG00000031286,ENSMUSG00000026782,ENSRNOG00000017707,ENSCAFG00000012817,0,0,0,1,0,0,0,-10,13,0,0,8,0.414039562,0.36524764,NA,NA,NA,NA,NA,5.17923
ABI3,ENSG00000108798,ENSMFAG00000032314,ENSMUSG00000018381,ENSRNOG00000005575,ENSCAFG00000016920,11,0,0,0,0,11,11,0,0,-9,0,-9,0.13956035,NA,0.517437961,0.661806621,0.919301957,0.626263828,0.231176833,2.3488
ABI3BP,ENSG00000154175,ENSMFAG00000043185,ENSMUSG00000035258,ENSRNOG00000001627,ENSCAFG00000009506,-9,0,9,-11,-13,6,0,-11,0,-8,-11,11,0.267852911,0.19314123,NA,NA,NA,NA,NA,1.91941
ABL2,ENSG00000143322,ENSMFAG00000036564,ENSMUSG00000026596,ENSRNOG00000004305,ENSCAFG00000013920,4,0,0,0,-1,-11,-11,8,11,-10,-11,-11,0.578229408,NA,0.455063716,0.602609077,0.602009519,NA,0.716451017,4.39671
ABLIM1,ENSG00000099204,ENSMFAG00000046222,ENSMUSG00000025085,ENSRNOG00000046333,ENSCAFG00000011513,0,0,0,0,0,0,0,0,0,0,0,0,0.355954826,0.297689251,0.576458753,0.734707301,0.611845584,NA,0.71965496,4.88125
ABLIM2,ENSG00000163995,ENSMFAG00000033256,ENSMUSG00000029095,ENSRNOG00000007882,ENSCAFG00000014530,0,0,0,0,1,8,9,0,0,0,0,0,0.188017934,NA,0.772747597,NA,0.368693813,0.346199596,0.46685151,NA
ABLIM3,ENSG00000173210,ENSMFAG00000044334,ENSMUSG00000032735,ENSRNOG00000019365,ENSCAFG00000018323,-1,0,11,-11,0,1,0,-10,0,0,-11,0,0.296931066,0.330856438,NA,NA,0.453093601,NA,0.613431916,4.76892
ABR,ENSG00000159842,ENSMFAG00000044480,ENSMUSG00000017631,ENSRNOG00000056837,ENSCAFG00000019060,0,0,0,0,0,0,0,0,0,0,1,8,0.425831011,0.264808143,0.815560027,NA,0.625912216,0.42452718,0.53271719,4.79664
ABRA,ENSG00000174429,ENSMFAG00000043594,ENSMUSG00000042895,ENSRNOG00000007999,ENSCAFG00000000682,0,0,0,0,0,0,0,0,0,0,0,0,0.105142339,NA,0.353789403,0.637579478,0.35356954,NA,0.768823167,2.64318
ABRACL,ENSG00000146386,ENSMFAG00000046040,ENSMUSG00000078453,ENSRNOG00000051450,ENSCAFG00000000281,6,0,0,0,11,-8,-13,10,-6,-6,-8,0,0.313617261,0.4102232,NA,NA,NA,NA,NA,4.5742
ABT1,ENSG00000146109,ENSMFAG00000038140,ENSMUSG00000036376,ENSRNOG00000017585,ENSCAFG00000029249,0,0,0,0,0,-6,0,0,0,0,0,0,0.49964478,NA,NA,NA,NA,NA,NA,2.40677
ABTB1,ENSG00000114626,ENSMFAG00000033156,ENSMUSG00000030083,ENSRNOG00000015762,ENSCAFG00000004082,0,6,0,0,0,8,-6,0,0,0,10,1,0.287940486,0.590807809,0.387212162,0.705437404,0.815335801,0.66801475,0.600616143,NA
ABTB2,ENSG00000166016,ENSMFAG00000001208,ENSMUSG00000032724,ENSRNOG00000008510,ENSCAFG00000006977,-9,0,0,-10,-11,-9,0,10,0,-8,6,-13,NA,NA,NA,NA,NA,NA,NA,4.25684
ACAA2,ENSG00000167315,ENSMFAG00000040240,ENSMUSG00000036880,ENSRNOG00000013766,ENSCAFG00000019019,9,6,-6,0,1,-11,0,10,0,4,8,13,0.283890686,NA,0.763805053,0.52718702,0.830671602,0.671226359,0.466296981,4.05424
ACACA,ENSG00000278540,ENSMFAG00000045655,ENSMUSG00000020532,ENSRNOG00000034013,ENSCAFG00000017996,13,0,6,-1,0,-6,0,-10,0,-4,8,-8,0.544371023,0.282116596,0.854460094,0.796864723,0.386039133,NA,0.747874307,NA
ACACB,ENSG00000076555,ENSMFAG00000041953,ENSMUSG00000042010,ENSRNOG00000000658,ENSCAFG00000010991,-11,0,0,-6,11,-9,-6,10,0,-4,4,0,0.233087315,NA,NA,NA,NA,NA,NA,4.07884
ACAD10,ENSG00000111271,ENSMFAG00000044265,ENSMUSG00000029456,ENSRNOG00000037815,ENSCAFG00000008627,0,6,0,0,0,0,0,-8,-6,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA
ACAD11,ENSG00000240303,ENSMFAG00000034200,ENSMUSG00000090150,ENSRNOG00000010940,ENSCAFG00000023835,0,-9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3.21248
ACAD8,ENSG00000151498,ENSMFAG00000038809,ENSMUSG00000031969,ENSRNOG00000048164,ENSCAFG00000009762,0,6,0,0,0,-6,0,0,0,0,0,-8,0.559158221,0.258514297,0.587301587,0.380727911,0.386567953,0.383846794,0.32138016,4.29908
ACAD9,ENSG00000177646,ENSMFAG00000045035,ENSMUSG00000027710,ENSRNOG00000014178,ENSCAFG00000004350,1,6,0,0,8,0,0,0,-6,0,10,-8,0.374628078,0.58187169,NA,NA,NA,0.913643392,NA,3.37145
ACADL,ENSG00000115361,ENSMFAG00000003569,ENSMUSG00000026003,ENSRNOG00000012966,ENSCAFG00000013856,0,0,0,0,0,0,-13,0,0,0,8,9,0.218885596,0.632472368,NA,NA,0.005817028,0.025454978,0.006777572,3.72731
ACADM,ENSG00000117054,ENSMFAG00000032655,ENSMUSG00000062908,ENSRNOG00000009845,ENSCAFG00000020393,8,6,0,6,-6,9,0,10,-6,9,-11,0,0.366914769,NA,0.38151129,0.490462618,0.36964569,0.422861901,0.274676525,4.43312
ACADS,ENSG00000122971,ENSMFAG00000001168,ENSMUSG00000029545,ENSRNOG00000001177,ENSCAFG00000010446,0,6,0,0,6,-6,0,0,-6,4,1,13,0.330078267,0.304359161,0.630561145,0.472593729,0.769857218,0.578446533,0.586198398,4.29022
ACADVL,ENSG00000072778,ENSMFAG00000040305,ENSMUSG00000018574,ENSRNOG00000018114,ENSCAFG00000016016,9,0,7,0,1,0,0,10,-11,8,10,0,0.585302474,NA,0.54035323,0.844770884,0.932945531,0.77387891,0.568083795,NA
ACAN,ENSG00000157766,ENSMFAG00000019208,ENSMUSG00000030607,ENSRNOG00000028992,ENSCAFG00000011534,0,0,0,0,0,0,0,0,0,0,0,0,0.403688535,0.197121344,0.547619048,NA,0.171760973,0.104615202,0.219963031,1.50984
ACAP1,ENSG00000072818,ENSMFAG00000039943,ENSMUSG00000001588,ENSRNOG00000015674,ENSCAFG00000016225,0,0,0,0,11,-11,-11,-12,-11,0,11,11,0.169164622,NA,0.156270959,0.441789081,0.581808567,0.561080052,0.530006161,3.2112
ACAP2,ENSG00000114331,ENSMFAG00000039260,ENSMUSG00000049076,ENSRNOG00000001730,ENSCAFG00000013421,4,0,-7,0,-1,11,9,11,10,0,0,0,0.63383396,0.454500054,NA,NA,0.860497091,0.801474961,0.739987677,4.41487
ACAP3,ENSG00000131584,ENSMFAG00000039429,ENSMUSG00000029033,ENSRNOG00000022307,ENSCAFG00000019294,-4,0,1,-10,1,11,11,11,11,10,0,0,0.417455853,0.172587507,0.65694165,0.445297084,0.556425172,0.579636018,0.686383241,3.58634
ACAT1,ENSG00000075239,ENSMFAG00000044957,ENSMUSG00000032047,ENSRNOG00000007862,ENSCAFG00000014570,-6,11,0,0,0,0,-11,0,0,1,0,-11,0.284497813,0.348873634,NA,NA,0.89539926,0.577257048,NA,4.33854
ACBD3,ENSG00000182827,ENSMFAG00000045670,ENSMUSG00000026499,ENSRNOG00000003185,ENSCAFG00000016115,4,0,-7,0,0,11,9,11,10,0,-11,0,0.707607793,0.499276507,0.90319696,0.95319009,0.965838181,0.982276674,0.903512015,4.13256
ACBD4,ENSG00000181513,ENSMFAG00000045120,ENSMUSG00000056938,ENSRNOG00000003108,ENSCAFG00000013895,0,6,0,0,0,1,0,0,0,0,-8,13,0.362957392,NA,0.348088531,0.570817803,0.861131676,0.501367908,0.5004313,NA
ACBD6,ENSG00000230124,ENSMFAG00000036354,ENSMUSG00000033701,ENSRNOG00000003550,ENSCAFG00000012761,0,0,0,0,0,0,0,0,0,0,0,0,0.638840921,NA,0.353118712,0.415807937,0.473453199,0.307957654,0.29254467,NA
ACCS,ENSG00000110455,ENSMFAG00000003720,ENSMUSG00000040272,ENSRNOG00000009199,ENSCAFG00000009497,0,0,0,0,0,1,0,0,0,8,0,0,0.497053955,NA,NA,NA,NA,NA,NA,2.79447
